pam|https://pam.wikipedia.org/wiki/~{0}
panawiki|http://wiki.alairelibre.net/index.php?title=~{0}
pap|https://pap.wikipedia.org/wiki/~{0}
patwiki|http://gauss.ffii.org/~{0}
pcd|https://pcd.wikipedia.org/wiki/~{0}
pdc|https://pdc.wikipedia.org/wiki/~{0}
personaltelco|http://www.personaltelco.net/~{0}
pfl|https://pfl.wikipedia.org/wiki/~{0}
phab|https://phabricator.wikimedia.org/~{0}
phabricator|https://phabricator.wikimedia.org/~{0}
phpwiki|http://phpwiki.sourceforge.net/phpwiki/index.php?~{0}
phwiki|http://www.pocketheaven.com/ph/wiki/index.php?title=~{0}
pi|https://pi.wikipedia.org/wiki/~{0}
pih|https://pih.wikipedia.org/wiki/~{0}
pl|https://pl.wikipedia.org/wiki/~{0}
planetmath|http://planetmath.org/node/~{0}
pmeg|http://www.bertilow.com/pmeg/~{0}
pms|https://pms.wikipedia.org/wiki/~{0}
pnb|https://pnb.wikipedia.org/wiki/~{0}
pnt|https://pnt.wikipedia.org/wiki/~{0}
pokewiki|http://pokewiki.de/~{0}
pokéwiki|http://pokewiki.de/~{0}
policy|https://policy.wikimedia.org/~{0}
proofwiki|https://www.proofwiki.org/wiki/~{0}
ps|https://ps.wikipedia.org/wiki/~{0}
psycle|http://psycle.sourceforge.net/wiki/~{0}
pt|https://pt.wikipedia.org/wiki/~{0}
pyrev|https://www.mediawiki.org/wiki/Special:Code/pywikipedia/~{0}
pythoninfo|https://wiki.python.org/moin/~{0}
pythonwiki|http://www.pythonwiki.de/~{0}
pywiki|http://c2.com/cgi/wiki?~{0}
q|https://en.wikiquote.org/wiki/~{0}
qu|https://qu.wikipedia.org/wiki/~{0}
quality|https://quality.wikimedia.org/wiki/~{0}
quarry|https://quarry.wmflabs.org/~{0}
rcirc|irc://irc.wikimedia.org/~{0}
reuterswiki|http://glossary.reuters.com/index.php/~{0}
rev|https://www.mediawiki.org/wiki/Special:Code/MediaWiki/~{0}
revo|http://purl.org/NET/voko/revo/art/~{0}.html
rfc|https://tools.ietf.org/html/rfc~{0}
rheinneckar|http://rhein-neckar-wiki.de/~{0}
rm|https://rm.wikipedia.org/wiki/~{0}
rmy|https://rmy.wikipedia.org/wiki/~{0}
rn|https://rn.wikipedia.org/wiki/~{0}
ro|https://ro.wikipedia.org/wiki/~{0}
roa-rup|https://roa-rup.wikipedia.org/wiki/~{0}
roa-tara|https://roa-tara.wikipedia.org/wiki/~{0}
robowiki|http://robowiki.net/?~{0}
rowiki|http://wiki.rennkuckuck.de/index.php/~{0}
rt|https://rt.wikimedia.org/Ticket/Display.html?id=~{0}
rtfm|ftp://rtfm.mit.edu/pub/faqs/~{0}
ru|https://ru.wikipedia.org/wiki/~{0}
rue|https://rue.wikipedia.org/wiki/~{0}
rup|https://roa-rup.wikipedia.org/wiki/~{0}
rw|https://rw.wikipedia.org/wiki/~{0}
s|https://en.wikisource.org/wiki/~{0}
s23wiki|http://s23.org/wiki/~{0}
sa|https://sa.wikipedia.org/wiki/~{0}
sah|https://sah.wikipedia.org/wiki/~{0}
sc|https://sc.wikipedia.org/wiki/~{0}
scholar|http://scholar.google.com/scholar?q=~{0}
schoolswp|http://schools-wikipedia.org/wiki/~{0}
scn|https://scn.wikipedia.org/wiki/~{0}
sco|https://sco.wikipedia.org/wiki/~{0}
scores|http://imslp.org/wiki/~{0}
scoutwiki|http://en.scoutwiki.org/~{0}
scramble|http://www.scramble.nl/wiki/index.php?title=~{0}
sd|https://sd.wikipedia.org/wiki/~{0}
se|https://se.wikipedia.org/wiki/~{0}
seapig|http://www.seapig.org/~{0}
seattlewiki|http://seattlewiki.org/wiki/~{0}
seattlewireless|http://seattlewireless.net/?~{0}
sector001|http://gagadesigns.net/wiki/startrek/index.php?title=~{0}
securewikidc|https://secure.wikidc.org/~{0}
semantic-mw|https://www.semantic-mediawiki.org/wiki/~{0}
senseislibrary|http://senseis.xmp.net/?~{0}
sep11|https://sep11.wikipedia.org/wiki/~{0}
sg|https://sg.wikipedia.org/wiki/~{0}
sgs|https://bat-smg.wikipedia.org/wiki/~{0}
sh|https://sh.wikipedia.org/wiki/~{0}
sharemap|http://sharemap.org/~{0}
si|https://si.wikipedia.org/wiki/~{0}
silcode|http://www.sil.org/iso639-3/documentation.asp?id=~{0}
simple|https://simple.wikipedia.org/wiki/~{0}
sk|https://sk.wikipedia.org/wiki/~{0}
sl|https://sl.wikipedia.org/wiki/~{0}
slashdot|http://slashdot.org/article.pl?sid=~{0}
slwiki|http://wiki.secondlife.com/wiki/~{0}
sm|https://sm.wikipedia.org/wiki/~{0}
sn|https://sn.wikipedia.org/wiki/~{0}
so|https://so.wikipedia.org/wiki/~{0}
sourceforge|http://sourceforge.net/~{0}
spcom|https://spcom.wikimedia.org/wiki/~{0}
species|https://species.wikimedia.org/wiki/~{0}
sq|https://sq.wikipedia.org/wiki/~{0}
squeak|http://wiki.squeak.org/squeak/~{0}
sr|https://sr.wikipedia.org/wiki/~{0}
srn|https://srn.wikipedia.org/wiki/~{0}
ss|https://ss.wikipedia.org/wiki/~{0}
st|https://st.wikipedia.org/wiki/~{0}
stats|https://stats.wikimedia.org/~{0}
